ID,Report_ID,cohens_d,hedges_g,dataset
HAI15,R40,0.082,0.08187260486794408,versus
HAI15,R41,-1.161,-1.1591962713619888,versus
HAI15,R42,0.51,0.509207664422579,versus
HAI15,R43,0.42,0.4193474883480062,versus
HAI15,R44,0.044,0.0439316416364578,versus
HAI15,R45,-0.14,-0.1397824961160021,versus
HAI15,R46,0.293,0.2925447954427758,versus
HAI15,R47,-0.41,-0.4093630243397203,versus
HAI15,R48,0.64,0.6390056965302953,versus
HAI15,R49,0.255,0.2546038322112895,versus
HAI15,R50,-0.192,-0.19170170895908856,versus
HAI15,R51,-0.379,-0.3784111859140342,versus
HAI15,R52,0.721,0.7198798549974107,versus
HAI16,R1,0.27792085204244754,0.27722079951841117,versus
HAI17,R1,0.7993607669774313,0.7889794583153867,versus
HAI18,R1,1.5811388300841873,1.5771826862224254,versus
